sales_date,product,sales_quantity,price_per_item,total
2014-01-03,Ayam Goreng,1,7000,7000
2014-01-03,Ayam Goreng,4,7000,28000
2014-01-03,Ayam Goreng,1,7000,7000
2014-01-03,Ayam Goreng,1,7000,7000
2014-01-03,Ayam Goreng,1,7000,7000
2014-01-04,Ayam Goreng,1,7000,7000
2014-01-04,Ayam Goreng,1,7000,7000
2014-01-05,Ayam Goreng,1,7000,7000
2014-01-05,Ayam Goreng,1,7000,7000
2014-01-05,Ayam Goreng,2,7000,14000
2014-01-06,Ayam Goreng,1,7000,7000
2014-01-06,Ayam Goreng,1,7000,7000
2014-01-06,Ayam Goreng,2,7000,14000
2014-01-06,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-08,Ayam Goreng,1,7000,7000
2014-01-09,Ayam Goreng,1,7000,7000
2014-01-09,Ayam Goreng,1,7000,7000
2014-01-09,Ayam Goreng,1,7000,7000
2014-01-09,Ayam Goreng,1,7000,7000
2014-01-09,Ayam Goreng,2,7000,14000
2014-01-09,Ayam Goreng,1,7000,7000
2014-01-10,Ayam Goreng,1,7000,7000
2014-01-10,Ayam Goreng,1,7000,7000
2014-01-10,Ayam Goreng,2,7000,14000
2014-01-10,Ayam Goreng,1,7000,7000
2014-01-11,Ayam Goreng,1,7000,7000
2014-01-11,Ayam Goreng,1,7000,7000
2014-01-11,Ayam Goreng,1,7000,7000
2014-01-11,Ayam Goreng,1,7000,7000
2014-01-11,Ayam Goreng,1,7000,7000
2014-01-12,Ayam Goreng,1,7000,7000
2014-01-12,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-13,Ayam Goreng,2,7000,14000
2014-01-13,Ayam Goreng,1,7000,7000
2014-01-14,Ayam Goreng,2,7000,14000
2014-01-14,Ayam Goreng,1,7000,7000
2014-01-14,Ayam Goreng,1,7000,7000
2014-01-14,Ayam Goreng,2,7000,14000
2014-01-15,Ayam Goreng,2,7000,14000
2014-01-15,Ayam Goreng,1,7000,7000
2014-01-15,Ayam Goreng,1,7000,7000
2014-01-16,Ayam Goreng,2,7000,14000
2014-01-16,Ayam Goreng,1,7000,7000
2014-01-16,Ayam Goreng,1,7000,7000
2014-01-16,Ayam Goreng,1,7000,7000
2014-01-16,Ayam Goreng,1,7000,7000
2014-01-17,Ayam Goreng,1,7000,7000
2014-01-17,Ayam Goreng,1,7000,7000
2014-01-18,Ayam Goreng,1,7000,7000
2014-01-19,Ayam Goreng,1,7000,7000
2014-01-19,Ayam Goreng,1,7000,7000
2014-01-19,Ayam Goreng,1,7000,7000
2014-01-19,Ayam Goreng,2,7000,14000
2014-01-20,Ayam Goreng,2,7000,14000
2014-01-20,Ayam Goreng,1,7000,7000
2014-01-20,Ayam Goreng,1,7000,7000
2014-01-20,Ayam Goreng,2,7000,14000
2014-01-21,Ayam Goreng,1,7000,7000
